ï»¿4690925	ucdt	All my allies get <b>+2 attack</b>.<br>[Y]: Destroy an opponent's stunned creature.
4796789	ucdt	Free Realms Virtual Reward
5782027	ucdt	[Stars 3], Zap me >> Your attacking [Chaos] creature gets <b>+2 attack</b>. <br><i>Crush</i> - If it wins by 4 or more, ready me.
7604674	ucdt	I can't be destroyed while I'm battling unless I lose by 4 or more.
7975694	ucdt	Score your attacking creature.
7991237	ucdt	For each resource you have in play, your battling creature gets <b>+1 attack</b> and <b>+1 defense</b>.
9436309	ugdt	{v}pay{3s="pays"}
10820175	ucdt	When I hunt, destroy an opponent's scored card in my column.<br>[RG]: Score a card.
13069622	ucdt	Drake
13406524	ucdt	Fire Toad
14259282	ucdt	Free Realms Virtual Reward
15355183	ucdt	[*title*]: #second("your")#third(#owns([*actor*])) tricks cost -1 or -2 if the battling creature is a plant creature.
15630349	ucdt	His shots always pack a punch.
16243732	ucdt	Choose  a column.
16249276	ucdt	Flip over a resource?
16576316	ucdt	Frosty Yeti
18002075	ucdt	[*title*]: [*target3*] #does([:GET:]) +1 defense for each of #second("your")#third(#his([*actor*])) support cards.
21063831	ucdt	I can't be destroyed this turn.
21236731	ucdt	'Give my creation life!'
21568527	ucdt	Free Realms Loot
21838071	ucdt	Hope that you get to be the stinger and not the stingee.
21907774	ucdt	Replenishes your health when you drink it!
23016664	ucdt	'Let's go see my friend Oakheart. Maybe freshly picked Floren will cheer him up.'
24626674	ucdt	I adjusted the cards in #actor()'s deck.
25074488	ucdt	Ninja Master
25082746	ucdt	When your creature wins a battle, you may turn me face down. If you do, ready one of your stunned creatures.
26225118	ucdt	A driver is no better than his pit crew.
26938125	ucdt	Mushroom Ring
27150101	ucdt	Score a card?
30141281	ucdt	[*title*]: #owns([*target1*]) attack is added to [*target3*]'s.
30404163	ucdt	Spend 4 stars, discard a card, and zap me to add your defending creatures' cost to it's attack?
30851636	ucdt	Chillblaine's Trap
31489032	ucdt	[Stars 3], Turn me face down >> Your battling creature gets <b>+1 attack</b> and <b>+1 defense</b> for each Dwarf in play.
33004113	ucdt	[*title*]: [*title*] is moved into #second("your")#third(#owns([*actor*])) hand.
33140593	ucdt	Robgoblin Boomer
33198602	ucdt	Save your creature?
35715379	ucdt	Kitty Ninja Gi
36053957	ucdt	Force an ally's foe to attack?
37258669	ucdt	Free Realms Virtual Reward
37314665	ucdt	[*title*]: which 1 cost creature should I replace [*target2*] with?
37547390	ucdt	I boosted my allies!
37989465	ucdt	Jumbo Mana Potion
38621445	ucdt	[*title*]: #Actor() #does([:DESTROY:]) [*target1*] to save [*target2*].
39138412	ucdt	Bud Grimyfoot
39845710	ucdt	Snorg
40256431	ucdt	Shhh.... Can you keep a secret?
41606928	ucdt	Free Realms Virtual Reward
42728015	ucdt	A huge potion that heals lots of Health.
43037016	ucdt	I put a flipped card in #second("your")#third(#owns([*actor*])) hand!
44554280	ucdt	Convor Fountain
46344573	ucdt	When I'm destroyed, put me in your hand.<br>[B]: Stun an opponent's creature for each [B] you flipped.
46546488	ucdt	Destroy all your opponent's stunned creatures.
46594650	ucdt	Which card to discard?|Enough|
47444332	ucdt	Sanctuary Courier
48346782	ucdt	Spend 3 coins to replace one of your creatures with a Chugawug creature from your hand?
48700230	ucdt	Clancy Blackheart
48760573	ucdt	I blew up a scored card real good!
49753933	ucdt	Ice Trolls consider their wolves allies rather than pets.
49840698	ucdt	[Spend 0] >> Zap me.<br>When you play a creature, if I'm zapped, you may pay an extra coin. If you do, that creature gets <b>+2 defense</b> while I'm zapped. When you ready me, turn me face down.
50110726	ucdt	I adjusted the cards in #second("your")#third(#owns([*actor*])) deck.
50612689	ucdt	More coal for the boiler!
51117834	ucdt	[*title*]: No size 1 creatures in #second("your")#third(#his([*actor*])) hand.
51291288	ucdt	Thick Pocket Book
51619687	ucdt	Small Tournament Winnings
53082035	ucdt	Did you hear?  There's a kid trapped in a cave.  He needs a hero to save him.
53490062	ucdt	What creature should I reveal?
54377628	ucdt	[Spend 1], Turn me face down >> Draw a card for each of your stacked cards.
54396607	ucdt	[*title*]: [*target3*] #does([:GET:]) +1 attack and +1 defense for each support card that belongs to #actor().
54399506	ucdt	[*target1*] vanished, leaving nothing but a scored card.
54613578	ucdt	Play me to turn over an opposing support card?
54912839	ucdt	[Spend 0] >> Move me.
55802648	ucdt	Royal Guard
55899724	ucdt	Free Realms Virtual Reward
58199738	ugdt	{v}lose{3s="loses"}
58603074	ucdt	When Ralph the Medic told the story later, he made his 'retreat' sound much more dignified.
58776381	ucdt	Captain Chugug
59085968	ucdt	Frost Ridge Derby Driver
60288130	ucdt	My [Chaos] allies can't be destroyed.<br>I get <b>+1 attack</b> for each other Yeti in play.
60333751	ucdt	Free Realms Virtual Reward
60584214	ucdt	Discard a card to give a battling creature +1 attack and +1 defense?
60894351	ucdt	Where do you want to play the creature?
63009120	ucdt	Thanks for the card!
64202154	ucdt	Platinum Prize
64345745	ucdt	Shady Smuggler
65596152	ucdt	Free Realms Virtual Reward
66509877	ucdt	[*title*]: #Actor() #does([:DISCARD:]) [*target1*] to give [*title*] +2 attack.
69364100	ucdt	Put a card from your hand underneath me?
71206509	ucdt	Select a card to put on top of your deck.
71761370	ucdt	Play me to destroy the opponent's battling creature at the end of the battle?
72742203	ucdt	Goodbye, stacked cards!
74886176	ucdt	A cute, clicky-clocky pet!
75176035	ucdt	Fly all over Free Realms with this techy hoverboard from Magetech!
75500124	ucdt	Free Realms Loot
75749174	ucdt	Card Assault Loot
75764796	ucdt	I put [*target1*] in its owner's hand.
76126843	ucdt	Ambrose Worcester
76208941	ucdt	I readied [*target2*]!
79075819	ucdt	Free Realms Virtual Reward
82232082	ucdt	[*title*]: #Actor() #does([:FLIP:]) a creature and #does([:TAKE:]) it into #second("your")#third(#his([*actor*])) hand.
82826221	ucdt	Stay down, [*target3*]!
83953670	ucdt	Free Realms Virtual Reward
84797699	ucdt	Jumbo Replenishing Potion
87529576	ucdt	Repair Shop
87622266	ucdt	Caution
